scenario_id,model_id,observed_rule,excess_rule,structural_n,excess_n,structural_clean_cooking_mean,excess_clean_cooking_mean,clean_cooking_difference_excess_minus_structural,structural_hap_pm_mean,excess_hap_pm_mean,hap_pm_difference_excess_minus_structural
sdi_poly2_year_fe__top33_observed__ratio_gt_1_2,sdi_poly2_year_fe,top33_observed,ratio_gt_1_2,51,17,23.359,77.45714285714284,54.09814285714284,245.85027532454396,88.75892010957578,-157.09135521496813
sdi_poly2_year_fe__top33_observed__excess_rate_gt_0,sdi_poly2_year_fe,top33_observed,excess_rate_gt_0,41,27,17.703658536585365,66.3695652173913,48.66590668080593,266.11801757283547,116.16396158993618,-149.9540559828993
sdi_poly2_year_fe__top25_observed__top33_excess_rate,sdi_poly2_year_fe,top25_observed,top33_excess_rate,37,14,13.502702702702702,68.97142857142856,55.468725868725855,273.11950074683864,127.90348716286326,-145.21601358397538
sdi_poly2_year_fe__top25_observed__top25_excess_rate,sdi_poly2_year_fe,top25_observed,top25_excess_rate,38,13,13.83684210526316,72.26153846153845,58.42469635627529,270.22836884584626,125.18402552084282,-145.04434332500344
sdi_poly2_year_fe__top25_observed__top20_excess_rate,sdi_poly2_year_fe,top25_observed,top20_excess_rate,39,12,15.448717948717947,71.89166666666667,56.44294871794872,266.3178224461628,125.80627270939722,-140.51154973676557
sdi_poly2_year_fe__top25_observed__top33_log_excess_ratio,sdi_poly2_year_fe,top25_observed,top33_log_excess_ratio,40,11,15.539999999999996,76.69090909090909,61.15090909090909,265.7274462355503,115.17931804464575,-150.54812819090455
sdi_poly2_year_fe__top25_observed__top25_log_excess_ratio,sdi_poly2_year_fe,top25_observed,top25_log_excess_ratio,41,10,17.358536585365854,75.35,57.99146341463414,262.9367074789892,111.56653412745575,-151.37017335153345
sdi_poly2_year_fe__top25_observed__ratio_gt_1_2,sdi_poly2_year_fe,top25_observed,ratio_gt_1_2,40,11,15.539999999999996,76.69090909090909,61.15090909090909,265.7274462355503,115.17931804464575,-150.54812819090455
sdi_poly2_year_fe__top25_observed__excess_rate_gt_0,sdi_poly2_year_fe,top25_observed,excess_rate_gt_0,36,15,13.475,65.34,51.865,272.3688438999013,139.38613116777782,-132.9827127321235
sdi_poly2_year_fe__top20_observed__top33_excess_rate,sdi_poly2_year_fe,top20_observed,top33_excess_rate,30,11,13.859999999999998,66.39090909090909,52.53090909090909,274.1329068283768,141.54796959351484,-132.58493723486197
sdi_poly2_year_fe__top20_observed__top25_excess_rate,sdi_poly2_year_fe,top20_observed,top25_excess_rate,31,10,14.25806451612903,70.41,56.151935483870965,270.5562481729172,139.3771177019534,-131.1791304709638
sdi_poly2_year_fe__top20_observed__top20_excess_rate,sdi_poly2_year_fe,top20_observed,top20_excess_rate,31,10,14.25806451612903,70.41,56.151935483870965,270.5562481729172,139.3771177019534,-131.1791304709638
sdi_poly2_year_fe__top20_observed__top33_log_excess_ratio,sdi_poly2_year_fe,top20_observed,top33_log_excess_ratio,32,9,14.409375,76.11111111111111,61.70173611111112,269.6858271056906,127.89648922198568,-141.7893378837049
sdi_poly2_year_fe__top20_observed__top25_log_excess_ratio,sdi_poly2_year_fe,top20_observed,top25_log_excess_ratio,33,8,16.703030303030303,74.36250000000001,57.65946969696971,266.09859468480744,124.97015572266564,-141.1284389621418
sdi_poly2_year_fe__top20_observed__ratio_gt_1_2,sdi_poly2_year_fe,top20_observed,ratio_gt_1_2,32,9,14.409375,76.11111111111111,61.70173611111112,269.6858271056906,127.89648922198568,-141.7893378837049
sdi_poly2_year_fe__top20_observed__excess_rate_gt_0,sdi_poly2_year_fe,top20_observed,excess_rate_gt_0,30,11,13.859999999999998,66.39090909090909,52.53090909090909,274.1329068283768,141.54796959351484,-132.58493723486197
sdi_poly3_year_fe__top33_observed__top33_excess_rate,sdi_poly3_year_fe,top33_observed,top33_excess_rate,45,23,20.16333333333333,70.78947368421052,50.62614035087719,258.83640016301774,104.33163809037964,-154.50476207263813
sdi_poly3_year_fe__top33_observed__top25_excess_rate,sdi_poly3_year_fe,top33_observed,top25_excess_rate,49,19,23.388541666666665,70.60624999999999,47.21770833333332,247.60009753103975,100.78215286282,-146.81794466821978
sdi_poly3_year_fe__top33_observed__top20_excess_rate,sdi_poly3_year_fe,top33_observed,top20_excess_rate,50,18,23.445918367346938,73.56666666666666,50.12074829931973,245.91322535060152,97.31135643802506,-148.60186891257646
sdi_poly3_year_fe__top33_observed__top33_log_excess_ratio,sdi_poly3_year_fe,top33_observed,top33_log_excess_ratio,51,17,23.359,77.45714285714284,54.09814285714284,245.85027532454396,88.75892010957578,-157.09135521496813
sdi_poly3_year_fe__top33_observed__top25_log_excess_ratio,sdi_poly3_year_fe,top33_observed,top25_log_excess_ratio,52,16,24.66764705882353,76.4846153846154,51.81696832579186,244.03213843785164,84.84965529039013,-159.1824831474615
sdi_poly3_year_fe__top33_observed__ratio_gt_1_2,sdi_poly3_year_fe,top33_observed,ratio_gt_1_2,51,17,23.359,77.45714285714284,54.09814285714284,245.85027532454396,88.75892010957578,-157.09135521496813
sdi_poly3_year_fe__top33_observed__excess_rate_gt_0,sdi_poly3_year_fe,top33_observed,excess_rate_gt_0,42,26,18.479761904761904,67.1,48.62023809523809,261.7678247594157,117.42373244304108,-144.3440923163746
sdi_poly3_year_fe__top25_observed__top33_excess_rate,sdi_poly3_year_fe,top25_observed,top33_excess_rate,37,14,13.502702702702702,68.97142857142856,55.468725868725855,273.11950074683864,127.90348716286326,-145.21601358397538
sdi_poly3_year_fe__top25_observed__top25_excess_rate,sdi_poly3_year_fe,top25_observed,top25_excess_rate,38,13,15.165789473684208,68.37692307692308,53.21113360323887,269.02996281292684,128.6870585401458,-140.34290427278103
sdi_poly3_year_fe__top25_observed__top20_excess_rate,sdi_poly3_year_fe,top25_observed,top20_excess_rate,39,12,15.448717948717947,71.89166666666667,56.44294871794872,266.3178224461628,125.80627270939722,-140.51154973676557
sdi_poly3_year_fe__top25_observed__top33_log_excess_ratio,sdi_poly3_year_fe,top25_observed,top33_log_excess_ratio,40,11,15.539999999999996,76.69090909090909,61.15090909090909,265.7274462355503,115.17931804464575,-150.54812819090455
sdi_poly3_year_fe__top25_observed__top25_log_excess_ratio,sdi_poly3_year_fe,top25_observed,top25_log_excess_ratio,41,10,17.358536585365854,75.35,57.99146341463414,262.9367074789892,111.56653412745575,-151.37017335153345
sdi_poly3_year_fe__top25_observed__ratio_gt_1_2,sdi_poly3_year_fe,top25_observed,ratio_gt_1_2,40,11,15.539999999999996,76.69090909090909,61.15090909090909,265.7274462355503,115.17931804464575,-150.54812819090455
sdi_poly3_year_fe__top25_observed__excess_rate_gt_0,sdi_poly3_year_fe,top25_observed,excess_rate_gt_0,36,15,13.475,65.34,51.865,272.3688438999013,139.38613116777782,-132.9827127321235
sdi_poly3_year_fe__top20_observed__top33_excess_rate,sdi_poly3_year_fe,top20_observed,top33_excess_rate,30,11,13.859999999999998,66.39090909090909,52.53090909090909,274.1329068283768,141.54796959351484,-132.58493723486197
sdi_poly3_year_fe__top20_observed__top25_excess_rate,sdi_poly3_year_fe,top20_observed,top25_excess_rate,30,11,13.859999999999998,66.39090909090909,52.53090909090909,274.1329068283768,141.54796959351484,-132.58493723486197
sdi_poly3_year_fe__top20_observed__top20_excess_rate,sdi_poly3_year_fe,top20_observed,top20_excess_rate,31,10,14.25806451612903,70.41,56.151935483870965,270.5562481729172,139.3771177019534,-131.1791304709638
sdi_poly3_year_fe__top20_observed__top33_log_excess_ratio,sdi_poly3_year_fe,top20_observed,top33_log_excess_ratio,32,9,14.409375,76.11111111111111,61.70173611111112,269.6858271056906,127.89648922198568,-141.7893378837049
sdi_poly3_year_fe__top20_observed__top25_log_excess_ratio,sdi_poly3_year_fe,top20_observed,top25_log_excess_ratio,33,8,16.703030303030303,74.36250000000001,57.65946969696971,266.09859468480744,124.97015572266564,-141.1284389621418
sdi_poly3_year_fe__top20_observed__ratio_gt_1_2,sdi_poly3_year_fe,top20_observed,ratio_gt_1_2,32,9,14.409375,76.11111111111111,61.70173611111112,269.6858271056906,127.89648922198568,-141.7893378837049
sdi_poly3_year_fe__top20_observed__excess_rate_gt_0,sdi_poly3_year_fe,top20_observed,excess_rate_gt_0,30,11,13.859999999999998,66.39090909090909,52.53090909090909,274.1329068283768,141.54796959351484,-132.58493723486197
