location_name,iso3,dominant_contextual_lag_domain,dominant_delta_z,has_positive_lag,number_of_positive_lag_domains,profile_2023,transition_pathway
Philippines,PHL,Health resources,0.2406462963990107,True,2,Double-high,Double-high -> Double-high
Palau,PLW,HIV/TB,2.2855230005567555,True,2,Excess-only,Excess-only -> Excess-only
Papua New Guinea,PNG,Immunisation/UHC,1.7321324017630066,True,2,Structural high,Neither -> Structural high
Poland,POL,WASH,0.8000596702419506,True,2,Excess-only,Neither -> Excess-only
Puerto Rico,PRI,Ambient PM2.5,0.14851225231990278,True,2,Excess-only,Neither -> Excess-only
Democratic People's Republic of Korea,PRK,Household energy/HAP,1.3773014329728779,True,4,Structural high,Double-high -> Structural high
Portugal,PRT,Health resources,1.1690560812639252,True,6,Neither,Neither -> Neither
Paraguay,PRY,No positive contextual lag,0.0,False,0,Neither,Neither -> Neither
Palestine,PSE,Household energy/HAP,3.1448702681076366,True,7,Double-high,Neither -> Double-high
Qatar,QAT,Ambient PM2.5,0.4703568882474105,True,2,Excess-only,Excess-only -> Excess-only
Romania,ROU,WASH,1.6007831029795632,True,5,Excess-only,Neither -> Excess-only
Russian Federation,RUS,Health resources,1.2587811107273164,True,3,Neither,Neither -> Neither
Rwanda,RWA,Climate/transmission,0.2285944112702818,True,1,Structural high,Double-high -> Structural high
Saudi Arabia,SAU,Household energy/HAP,1.0128489326964973,True,5,Excess-only,Excess-only -> Excess-only
Sudan,SDN,Immunisation/UHC,1.4327517830841037,True,7,Structural high,Structural high -> Structural high
Senegal,SEN,Nutrition,0.268148563217331,True,2,Neither,Structural high -> Neither
Singapore,SGP,WASH,0.0074211980486913465,True,1,Excess-only,Neither -> Excess-only
Solomon Islands,SLB,WASH,0.251617340566802,True,4,Structural high,Neither -> Structural high
Sierra Leone,SLE,HIV/TB,0.357278788342126,True,3,Structural high,Structural high -> Structural high
El Salvador,SLV,WASH,0.8935943338298293,True,5,Neither,Neither -> Neither
San Marino,SMR,Immunisation/UHC,0.4152326184768419,True,4,Neither,Neither -> Neither
Somalia,SOM,Immunisation/UHC,0.2745327731557283,True,2,Structural high,Structural high -> Structural high
Serbia,SRB,Climate/transmission,0.6983781402765954,True,2,Neither,Neither -> Neither
South Sudan,SSD,Household energy/HAP,0.7426404563096761,True,2,Structural high,Structural high -> Structural high
Sao Tome and Principe,STP,Climate/transmission,0.08902266409909054,True,1,Neither,Structural high -> Neither
Suriname,SUR,HIV/TB,0.6005034099698195,True,1,Neither,Neither -> Neither
Slovakia,SVK,Health resources,0.2253715292292056,True,2,Excess-only,Neither -> Excess-only
Slovenia,SVN,Climate/transmission,0.1808141312711652,True,2,Excess-only,Neither -> Excess-only
Sweden,SWE,Household energy/HAP,0.9377993531520572,True,1,Neither,Neither -> Neither
Eswatini,SWZ,Health resources,0.8121718978198129,True,5,Structural high,Double-high -> Structural high
Seychelles,SYC,Health resources,0.7364247377455087,True,5,Double-high,Excess-only -> Double-high
Syrian Arab Republic,SYR,Immunisation/UHC,1.7770211558428977,True,7,Structural high,Neither -> Structural high
Chad,TCD,Immunisation/UHC,0.6074946781883134,True,2,Structural high,Structural high -> Structural high
Togo,TGO,Climate/transmission,0.12150358081226909,True,1,Structural high,Structural high -> Structural high
Thailand,THA,Immunisation/UHC,0.37725080921219545,True,3,Double-high,Excess-only -> Double-high
Tajikistan,TJK,Ambient PM2.5,1.371177538640094,True,6,Neither,Neither -> Neither
Turkmenistan,TKM,Ambient PM2.5,0.8956567007542908,True,2,Excess-only,Excess-only -> Excess-only
Timor-Leste,TLS,HIV/TB,1.197864490754282,True,1,Double-high,Double-high -> Double-high
Tonga,TON,WASH,0.4328623620909875,True,2,Double-high,Neither -> Double-high
Trinidad and Tobago,TTO,HIV/TB,0.7457227912069211,True,6,Neither,Neither -> Neither
Tunisia,TUN,Household energy/HAP,0.637126161858267,True,4,Excess-only,Excess-only -> Excess-only
Türkiye,TUR,WASH,1.0087544401257353,True,6,Excess-only,Double-high -> Excess-only
Tuvalu,TUV,Health resources,1.2145028472253,True,4,Structural high,Neither -> Structural high
Taiwan,TWN,Household energy/HAP,1.4436329963762335,True,1,Excess-only,Excess-only -> Excess-only
United Republic of Tanzania,TZA,Climate/transmission,0.047062240620943885,True,1,Structural high,Double-high -> Structural high
Uganda,UGA,Health resources,0.09733859592405825,True,2,Structural high,Structural high -> Structural high
Ukraine,UKR,WASH,1.7616785123518341,True,6,Neither,Neither -> Neither
Uruguay,URY,Health resources,2.2324981115901514,True,7,Neither,Neither -> Neither
United States of America,USA,No positive contextual lag,0.0,False,0,Neither,Neither -> Neither
Uzbekistan,UZB,Health resources,1.5446132012024123,True,1,Neither,Excess-only -> Neither
Saint Vincent and the Grenadines,VCT,Household energy/HAP,0.3833885964093662,True,3,Neither,Neither -> Neither
Venezuela (Bolivarian Republic of),VEN,Household energy/HAP,0.7591945898613799,True,3,Neither,Neither -> Neither
United States Virgin Islands,VIR,Ambient PM2.5,0.09044303197371095,True,2,Excess-only,Neither -> Excess-only
Viet Nam,VNM,Immunisation/UHC,1.6925352168383125,True,5,Neither,Double-high -> Neither
Vanuatu,VUT,Immunisation/UHC,0.2721046271018164,True,2,Structural high,Neither -> Structural high
Samoa,WSM,Immunisation/UHC,0.7462678519257351,True,5,Structural high,Neither -> Structural high
Yemen,YEM,Immunisation/UHC,1.5006939322295219,True,4,Structural high,Double-high -> Structural high
South Africa,ZAF,Ambient PM2.5,1.1606989462498978,True,5,Double-high,Double-high -> Double-high
Zambia,ZMB,No positive contextual lag,0.0,False,0,Neither,Structural high -> Neither
Zimbabwe,ZWE,WASH,0.6050534226504937,True,2,Structural high,Neither -> Structural high
