location_name,iso3,year,domain,adverse_z,peer_reference,indicator_group,profile_2023,marked_adverse_z_gt_0_5
Micronesia (Federated States of),FSM,2023,Climate/transmission,0.9724194192868212,same-year SDI-quintile peers,Climate/transmission,Neither,True
Micronesia (Federated States of),FSM,2023,WASH,,same-year SDI-quintile peers,WASH,Neither,False
Micronesia (Federated States of),FSM,2023,Immunisation/UHC,0.34807971005027,same-year SDI-quintile peers,Immunisation/UHC,Neither,False
Micronesia (Federated States of),FSM,2023,HIV/TB,0.6928820279083325,same-year SDI-quintile peers,HIV/TB,Neither,True
Micronesia (Federated States of),FSM,2023,Nutrition,,same-year SDI-quintile peers,Nutrition,Neither,False
Micronesia (Federated States of),FSM,2023,Health resources,-0.2157325725139992,same-year SDI-quintile peers,Health resources,Neither,False
Papua New Guinea,PNG,2023,Household energy/HAP,-0.0056535968248106,same-year SDI-quintile peers,Household energy/HAP,Structural high,False
Papua New Guinea,PNG,2023,Ambient PM2.5,-1.073494546956248,same-year SDI-quintile peers,Ambient PM2.5,Structural high,False
Papua New Guinea,PNG,2023,Climate/transmission,0.3483604681498712,same-year SDI-quintile peers,Climate/transmission,Structural high,False
Papua New Guinea,PNG,2023,WASH,1.095484593256465,same-year SDI-quintile peers,WASH,Structural high,True
Papua New Guinea,PNG,2023,Immunisation/UHC,2.200903914663498,same-year SDI-quintile peers,Immunisation/UHC,Structural high,True
Papua New Guinea,PNG,2023,HIV/TB,1.438804838761137,same-year SDI-quintile peers,HIV/TB,Structural high,True
Papua New Guinea,PNG,2023,Nutrition,,same-year SDI-quintile peers,Nutrition,Structural high,False
Papua New Guinea,PNG,2023,Health resources,0.1909783770485206,same-year SDI-quintile peers,Health resources,Structural high,False
Samoa,WSM,2023,Household energy/HAP,0.387690657538997,same-year SDI-quintile peers,Household energy/HAP,Structural high,False
Samoa,WSM,2023,Ambient PM2.5,-1.2831216399269534,same-year SDI-quintile peers,Ambient PM2.5,Structural high,False
Samoa,WSM,2023,Climate/transmission,0.8541059157051286,same-year SDI-quintile peers,Climate/transmission,Structural high,True
Samoa,WSM,2023,WASH,-1.0559803905836478,same-year SDI-quintile peers,WASH,Structural high,False
Samoa,WSM,2023,Immunisation/UHC,-0.0770512388682094,same-year SDI-quintile peers,Immunisation/UHC,Structural high,False
Samoa,WSM,2023,HIV/TB,-0.8438716827727814,same-year SDI-quintile peers,HIV/TB,Structural high,False
Samoa,WSM,2023,Nutrition,,same-year SDI-quintile peers,Nutrition,Structural high,False
Samoa,WSM,2023,Health resources,0.1803917818525842,same-year SDI-quintile peers,Health resources,Structural high,False
Solomon Islands,SLB,2023,Household energy/HAP,0.4046827292466332,same-year SDI-quintile peers,Household energy/HAP,Structural high,False
Solomon Islands,SLB,2023,Ambient PM2.5,-1.3545380372387392,same-year SDI-quintile peers,Ambient PM2.5,Structural high,False
Solomon Islands,SLB,2023,Climate/transmission,1.194970116715483,same-year SDI-quintile peers,Climate/transmission,Structural high,True
Solomon Islands,SLB,2023,WASH,0.2243940732716867,same-year SDI-quintile peers,WASH,Structural high,False
Solomon Islands,SLB,2023,Immunisation/UHC,-0.321290440876477,same-year SDI-quintile peers,Immunisation/UHC,Structural high,False
Solomon Islands,SLB,2023,HIV/TB,-0.6358238292747338,same-year SDI-quintile peers,HIV/TB,Structural high,False
Solomon Islands,SLB,2023,Nutrition,,same-year SDI-quintile peers,Nutrition,Structural high,False
Solomon Islands,SLB,2023,Health resources,-0.7027323683916183,same-year SDI-quintile peers,Health resources,Structural high,False
Tonga,TON,2023,Household energy/HAP,0.8473397383427982,same-year SDI-quintile peers,Household energy/HAP,Double-high,True
Tonga,TON,2023,Ambient PM2.5,-1.5511596578178213,same-year SDI-quintile peers,Ambient PM2.5,Double-high,False
Tonga,TON,2023,Climate/transmission,0.4107482349528943,same-year SDI-quintile peers,Climate/transmission,Double-high,False
