location_name,iso3,domain,adverse_z_2000,adverse_z_2023,delta_adverse_z,catchup_or_lag,profile_2000,profile_2023,transition_pathway
Belgium,BEL,Ambient PM2.5,0.0258751492321361,-0.461451225705016,-0.4873263749371521,catch-up,Neither,Neither,Neither -> Neither
Belgium,BEL,Climate/transmission,-0.0557899329470402,-0.2035284744699389,-0.14773854152289873,catch-up,Neither,Neither,Neither -> Neither
Belgium,BEL,HIV/TB,-0.339840305204923,-0.526877371459814,-0.18703706625489097,catch-up,Neither,Neither,Neither -> Neither
Belgium,BEL,Health resources,-0.2206512061110372,-1.0531685356984903,-0.8325173295874532,catch-up,Neither,Neither,Neither -> Neither
Belgium,BEL,Household energy/HAP,-0.8263742730088233,0.118127746636918,0.9445020196457412,lag,Neither,Neither,Neither -> Neither
Belgium,BEL,Immunisation/UHC,-0.5797109912127729,-0.6621499125343141,-0.08243892132154118,catch-up,Neither,Neither,Neither -> Neither
Belgium,BEL,Nutrition,,-0.7166949419335515,,stable,Neither,Neither,Neither -> Neither
Belgium,BEL,WASH,-0.4879567554697028,-0.4850837837942526,0.0028729716754501977,lag,Neither,Neither,Neither -> Neither
Belize,BLZ,Ambient PM2.5,-0.7240087446122315,-0.3438306734740892,0.38017807113814234,lag,Neither,Neither,Neither -> Neither
Belize,BLZ,Climate/transmission,0.811157556126273,0.8105921824684139,-0.0005653736578591362,catch-up,Neither,Neither,Neither -> Neither
Belize,BLZ,HIV/TB,-0.502490792349795,-0.4979012280106897,0.00458956433910529,lag,Neither,Neither,Neither -> Neither
Belize,BLZ,Health resources,-0.5843392447024697,0.3859653943254612,0.9703046390279308,lag,Neither,Neither,Neither -> Neither
Belize,BLZ,Household energy/HAP,-2.0090441719321874,-1.003063461480331,1.0059807104518563,lag,Neither,Neither,Neither -> Neither
Belize,BLZ,Immunisation/UHC,-0.8343587403543018,0.2622842565234434,1.0966429968777451,lag,Neither,Neither,Neither -> Neither
Belize,BLZ,WASH,-1.4690229369697696,-0.5362126287435391,0.9328103082262305,lag,Neither,Neither,Neither -> Neither
Benin,BEN,Ambient PM2.5,1.0375227078183158,0.5786618435935282,-0.45886086422478756,catch-up,Structural high,Structural high,Structural high -> Structural high
Benin,BEN,Climate/transmission,0.7137788711233694,0.8697143975408318,0.15593552641746244,lag,Structural high,Structural high,Structural high -> Structural high
Benin,BEN,HIV/TB,-0.5188065071169276,-0.7395080466167174,-0.22070153949978988,catch-up,Structural high,Structural high,Structural high -> Structural high
Benin,BEN,Health resources,0.5037010589620294,0.3272323769567403,-0.17646868200528915,catch-up,Structural high,Structural high,Structural high -> Structural high
Benin,BEN,Household energy/HAP,0.5981863455331576,0.2153193525991134,-0.38286699293404425,catch-up,Structural high,Structural high,Structural high -> Structural high
Benin,BEN,Immunisation/UHC,0.1517335981464872,0.5250652254750341,0.37333162732854686,lag,Structural high,Structural high,Structural high -> Structural high
Benin,BEN,WASH,0.5772967324296664,0.5855744062262207,0.008277673796554308,lag,Structural high,Structural high,Structural high -> Structural high
Bermuda,BMU,Ambient PM2.5,-0.7244293633767199,-0.6955569066224381,0.02887245675428185,lag,Neither,Excess-only,Neither -> Excess-only
Bermuda,BMU,Climate/transmission,0.6970502544664251,0.6882642633496081,-0.008785991116816994,catch-up,Neither,Excess-only,Neither -> Excess-only
Bermuda,BMU,HIV/TB,-0.6613378872639418,-0.7089466933216771,-0.04760880605773532,catch-up,Neither,Excess-only,Neither -> Excess-only
Bermuda,BMU,Household energy/HAP,1.0326248015993424,0.532849324304527,-0.4997754772948154,catch-up,Neither,Excess-only,Neither -> Excess-only
Bermuda,BMU,WASH,-0.5395701415201914,-0.5287339306612326,0.010836210858958806,lag,Neither,Excess-only,Neither -> Excess-only
Bhutan,BTN,Ambient PM2.5,0.0420370258600599,-0.0411886180322624,-0.08322564389232229,catch-up,Structural high,Neither,Structural high -> Neither
Bhutan,BTN,Climate/transmission,-0.2552508908291098,-0.0820316849449303,0.1732192058841795,lag,Structural high,Neither,Structural high -> Neither
Bhutan,BTN,HIV/TB,0.1058403201759848,-0.339852985547689,-0.4456933057236738,catch-up,Structural high,Neither,Structural high -> Neither
Bhutan,BTN,Health resources,0.3037392708420818,-2.019376942436549,-2.323116213278631,catch-up,Structural high,Neither,Structural high -> Neither
Bhutan,BTN,Household energy/HAP,-0.3323253482697634,-3.096999988026408,-2.764674639756645,catch-up,Structural high,Neither,Structural high -> Neither
Bhutan,BTN,Immunisation/UHC,-0.4886467604395662,-1.5747944606854212,-1.086147700245855,catch-up,Structural high,Neither,Structural high -> Neither
Bhutan,BTN,Nutrition,,-0.8821370109737847,,stable,Structural high,Neither,Structural high -> Neither
Bhutan,BTN,WASH,-0.5991673890840091,-1.8256433431231909,-1.2264759540391816,catch-up,Structural high,Neither,Structural high -> Neither
Bolivia (Plurinational State of),BOL,Ambient PM2.5,2.67755494097081,0.2519706313842383,-2.4255843095865717,catch-up,Double-high,Double-high,Double-high -> Double-high
Bolivia (Plurinational State of),BOL,Climate/transmission,-1.2684786345810892,-0.7905816408501933,0.4778969937308959,lag,Double-high,Double-high,Double-high -> Double-high
Bolivia (Plurinational State of),BOL,HIV/TB,-0.2107367030168006,-0.2643966026982884,-0.05365989968148782,catch-up,Double-high,Double-high,Double-high -> Double-high
Bolivia (Plurinational State of),BOL,Health resources,0.1516209171049661,0.3745908483081872,0.22296993120322106,lag,Double-high,Double-high,Double-high -> Double-high
Bolivia (Plurinational State of),BOL,Household energy/HAP,-1.0690332561277938,0.4158300591371481,1.484863315264942,lag,Double-high,Double-high,Double-high -> Double-high
Bolivia (Plurinational State of),BOL,Immunisation/UHC,-1.5616423118900922,0.6641354822792441,2.2257777941693364,lag,Double-high,Double-high,Double-high -> Double-high
Bolivia (Plurinational State of),BOL,WASH,-0.3721579338291363,1.0287876390205288,1.4009455728496651,lag,Double-high,Double-high,Double-high -> Double-high
Bosnia and Herzegovina,BIH,Ambient PM2.5,0.9363428025655776,0.7636227542702663,-0.1727200482953113,catch-up,Neither,Neither,Neither -> Neither
Bosnia and Herzegovina,BIH,Climate/transmission,-1.1000899671176236,-0.9071247674552878,0.19296519966233583,lag,Neither,Neither,Neither -> Neither
Bosnia and Herzegovina,BIH,HIV/TB,0.0214564956629556,-0.4989994474238592,-0.5204559430868148,catch-up,Neither,Neither,Neither -> Neither
Bosnia and Herzegovina,BIH,Health resources,0.1518723297477864,-0.5266200740613071,-0.6784924038090935,catch-up,Neither,Neither,Neither -> Neither
Bosnia and Herzegovina,BIH,Household energy/HAP,0.6453850294337424,1.6256820009865682,0.9802969715528258,lag,Neither,Neither,Neither -> Neither
Bosnia and Herzegovina,BIH,Immunisation/UHC,0.7666605790781974,1.338361424049185,0.5717008449709876,lag,Neither,Neither,Neither -> Neither
Bosnia and Herzegovina,BIH,Nutrition,-0.1793422613896074,,,stable,Neither,Neither,Neither -> Neither
Bosnia and Herzegovina,BIH,WASH,-1.1901795519586695,0.0032209924071712,1.1934005443658406,lag,Neither,Neither,Neither -> Neither
Botswana,BWA,Ambient PM2.5,-0.7624285602986732,-0.7974031710863474,-0.034974610787674165,catch-up,Neither,Excess-only,Neither -> Excess-only
Botswana,BWA,Climate/transmission,-0.5733666510205112,-0.9452629914513788,-0.3718963404308676,catch-up,Neither,Excess-only,Neither -> Excess-only
Botswana,BWA,HIV/TB,4.294474512697114,1.9554147823843036,-2.339059730312811,catch-up,Neither,Excess-only,Neither -> Excess-only
Botswana,BWA,Health resources,0.2916401697373107,0.7140276269875105,0.4223874572501998,lag,Neither,Excess-only,Neither -> Excess-only
Botswana,BWA,Household energy/HAP,0.0253257687063376,0.4644511610659167,0.4391253923595791,lag,Neither,Excess-only,Neither -> Excess-only
Botswana,BWA,Immunisation/UHC,0.8571726818351949,0.1133778189183132,-0.7437948629168817,catch-up,Neither,Excess-only,Neither -> Excess-only
Botswana,BWA,Nutrition,0.5256262178511657,,,stable,Neither,Excess-only,Neither -> Excess-only
Botswana,BWA,WASH,1.6599313027457436,1.958341437001115,0.29841013425537133,lag,Neither,Excess-only,Neither -> Excess-only
Brazil,BRA,Ambient PM2.5,0.0431929837660037,-0.7804917753050283,-0.823684759071032,catch-up,Double-high,Excess-only,Double-high -> Excess-only
Brazil,BRA,Climate/transmission,0.4646187289234103,0.289603664662133,-0.17501506426127728,catch-up,Double-high,Excess-only,Double-high -> Excess-only
Brazil,BRA,HIV/TB,-0.3752348123592239,-0.2515647152345163,0.12367009712470761,lag,Double-high,Excess-only,Double-high -> Excess-only
Brazil,BRA,Health resources,-0.8290318642420231,-1.2383666617000784,-0.40933479745805523,catch-up,Double-high,Excess-only,Double-high -> Excess-only
Brazil,BRA,Household energy/HAP,-0.8720239159906535,-0.4431136825785825,0.428910233412071,lag,Double-high,Excess-only,Double-high -> Excess-only
Brazil,BRA,Immunisation/UHC,-1.2860000353508063,-0.4915731191337109,0.7944269162170954,lag,Double-high,Excess-only,Double-high -> Excess-only
Brazil,BRA,WASH,-0.1768638752833781,-0.5738452798222428,-0.39698140453886466,catch-up,Double-high,Excess-only,Double-high -> Excess-only
Brunei Darussalam,BRN,Ambient PM2.5,-0.5898501749558366,-0.515460361402402,0.07438981355343455,lag,Neither,Neither,Neither -> Neither
Brunei Darussalam,BRN,Climate/transmission,1.5652883009351666,1.5050595964350897,-0.06022870450007689,catch-up,Neither,Neither,Neither -> Neither
Brunei Darussalam,BRN,HIV/TB,3.062169975856201,2.0132345783145347,-1.0489353975416664,catch-up,Neither,Neither,Neither -> Neither
Brunei Darussalam,BRN,Health resources,1.4262109924379658,0.8305601757222663,-0.5956508167156995,catch-up,Neither,Neither,Neither -> Neither
Brunei Darussalam,BRN,Household energy/HAP,1.0326248015993424,0.118127746636918,-0.9144970549624245,catch-up,Neither,Neither,Neither -> Neither
Brunei Darussalam,BRN,Immunisation/UHC,0.5575533843388145,0.0289012072921402,-0.5286521770466743,catch-up,Neither,Neither,Neither -> Neither
Brunei Darussalam,BRN,WASH,2.5271759513992165,-0.5343260169820003,-3.061501968381217,catch-up,Neither,Neither,Neither -> Neither
Bulgaria,BGR,Ambient PM2.5,0.4279662015736998,0.2280006875208629,-0.1999655140528369,catch-up,Excess-only,Excess-only,Excess-only -> Excess-only
Bulgaria,BGR,Climate/transmission,-0.9643716803191754,-0.8069063106400267,0.1574653696791487,lag,Excess-only,Excess-only,Excess-only -> Excess-only
Bulgaria,BGR,HIV/TB,-0.3299521014991778,-0.4184384477500923,-0.0884863462509145,catch-up,Excess-only,Excess-only,Excess-only -> Excess-only
Bulgaria,BGR,Health resources,-0.0900624003911396,0.7765542602912583,0.8666166606823978,lag,Excess-only,Excess-only,Excess-only -> Excess-only
Bulgaria,BGR,Household energy/HAP,0.1583408462159422,-0.7984305178352815,-0.9567713640512236,catch-up,Excess-only,Excess-only,Excess-only -> Excess-only
