Location,ISO3,Profile 2000,Profile 2023,Transition pathway,Delta adverse z: Household energy/HAP,Delta adverse z: Ambient PM2.5,Delta adverse z: Climate/transmission,Delta adverse z: WASH,Delta adverse z: Immunisation/UHC,Delta adverse z: HIV/TB,Delta adverse z: Nutrition,Delta adverse z: Health resources,Dominant contextual lag domain,Dominant delta adverse z,Number of positive lag domains
Gabon,GAB,Double-high,Neither,Double-high -> Neither,1.5555112447285928,0.565587271653998,-0.09110057995084508,2.2805386395865623,1.0739609176956524,1.96244427362327,,1.2250203374427162,WASH,2.2805386395865623,6
Germany,DEU,Neither,Neither,Neither -> Neither,0.8757391350360941,-0.4038453908659357,-0.20467154784713726,-5.424216588290065e-05,0.05342501275537381,0.0022707372230618694,,-0.5915824033920333,Household energy/HAP,0.8757391350360941,3
Ghana,GHA,Neither,Neither,Neither -> Neither,0.23203193567785813,0.0120066590886726,-0.050274766053559405,0.5513444093696138,-0.3225607763203627,-0.051791329700771105,,-0.19299091043991973,WASH,0.5513444093696138,3
Greece,GRC,Neither,Neither,Neither -> Neither,-0.07231301214632968,-0.5086614379866421,0.3188636038196007,-0.2408584868712067,-1.1819499931609523,0.11103928494531162,,0.408158302825238,Health resources,0.408158302825238,3
Greenland,GRL,Neither,Neither,Neither -> Neither,-0.4997754772948154,0.13864088748671677,-0.08266449673939169,0.0614196590132946,,1.0810569485658608,,,HIV/TB,1.0810569485658608,3
Grenada,GRD,Neither,Neither,Neither -> Neither,0.7746708370362722,0.1731577550084118,0.03277607763357504,0.5709247220259702,1.104605729097876,0.051424764140942214,,-0.2508551581223819,Immunisation/UHC,1.104605729097876,6
Guatemala,GTM,Neither,Neither,Neither -> Neither,0.7598884000234429,0.2868713382915054,0.15781016417736393,0.8914578476961675,0.40146634609530324,0.08315557337689972,,0.6000716820312835,WASH,0.8914578476961675,7
Guyana,GUY,Neither,Neither,Neither -> Neither,1.066562141993585,-0.0975965230658484,0.15890502871516743,1.4356487484963885,0.16702839954837334,0.4034020098554399,,0.2047510905542272,WASH,1.4356487484963885,6
Honduras,HND,Neither,Neither,Neither -> Neither,-1.0426881659155662,-0.5037514443118964,0.19537304238115,-0.706699709707896,2.0326157636624465,-0.5053531915186933,,-1.841879284663616,Immunisation/UHC,2.0326157636624465,2
Iceland,ISL,Neither,Neither,Neither -> Neither,0.9458063718150753,0.07821418317836604,-0.09640532303174554,-0.000977029155085407,0.2636985879731609,-0.24337122261878763,,0.0035509896131382668,Household energy/HAP,0.9458063718150753,4
Iran (Islamic Republic of),IRN,Neither,Neither,Neither -> Neither,0.2624571649365487,1.4923050043134425,-0.20047808895154717,0.22674282249848401,0.03325182919979913,-0.07794079200427495,,-0.09765714858070096,Ambient PM2.5,1.4923050043134425,4
Ireland,IRL,Neither,Neither,Neither -> Neither,1.0097916406171783,-0.11699050309966441,-0.0100678933752264,-1.0958083271864214,-0.8073936202100346,-0.11742290730292299,,-0.6744127114013122,Household energy/HAP,1.0097916406171783,1
Israel,ISR,Neither,Neither,Neither -> Neither,0.6050979317466538,-0.11602345851000273,0.12071463384287662,0.015180603973246054,-0.45356815775923676,-0.2690096162614375,,0.24907868539872602,Household energy/HAP,0.6050979317466538,4
Italy,ITA,Neither,Neither,Neither -> Neither,0.434896893698301,-0.6176947451475707,0.07870828341333028,-0.19824697308500255,-1.0489718046757297,-0.014768321685792896,,0.013964230371409592,Household energy/HAP,0.434896893698301,3
Jamaica,JAM,Neither,Neither,Neither -> Neither,1.1922125924105176,0.814497432275694,0.071460568813136,1.6627726108815732,-0.2264571201783891,-0.119801757866627,,1.668508981704647,Health resources,1.668508981704647,5
Japan,JPN,Neither,Neither,Neither -> Neither,0.6785926988627506,0.10322683615010259,0.1105220310668399,-0.5521299980178996,-1.9196858595014512,-0.5404942576520902,,-0.04826268350710619,Household energy/HAP,0.6785926988627506,3
